id;sigla;servidores
1;CGE;199
2;PGE;367
3;SEAD;2692
4;ECONOMIA;3108
5;DETRAN;1274
6;SSP;1586
7;CBM;2675
8;DGPP;3316
9;DGPC;4738
10;SES;7589
11;PM;11647
12;SEDF;38
13;FAPEG;78
14;SECOM;110
15;VICEGOV;111
16;GOIASTURISMO;111
17;SERINT;129
18;SEINFRA;130
19;CASACIVIL;138
20;SEAPA;152
21;SECTI;178
22;JUCEG;188
23;AGR;192
24;SIC;206
25;RETOMADA;253
26;SECULT;259
27;SEEL;385
28;ABC;390
29;SECAMI;460
30;SEMAD;522
31;SGG;577
32;GOINFRA;737
33;EMATER;828
34;DPE-GO;845
35;SEDS;966
36;AGRODEFESA;1004
37;UEG;2001
38;SEDUC;44981
39;GOIASPREV;71101
